Date,Open,High,Low,Close,Adj Close,Volume
2009-08-01,26.700001,26.900000,24.910000,26.049999,14.826222,475688300
2009-09-01,25.950001,27.690001,25.010000,27.010000,15.372601,601060700
2009-10-01,27.000000,27.190001,25.250000,25.670000,14.609949,732565500
2009-11-01,25.900000,27.330000,25.000000,26.940001,15.567863,505314300
2009-12-01,27.180000,28.610001,26.940001,28.030001,16.197735,499562400
2010-01-01,28.410000,28.730000,25.059999,25.360001,14.654822,729998800
2010-02-01,25.670000,25.840000,24.610001,24.809999,14.551891,578886600
2010-03-01,24.910000,26.570000,24.709999,25.840000,15.156025,590401700
2010-04-01,26.049999,26.750000,25.480000,26.059999,15.285056,640885700
2010-05-01,26.240000,26.430000,23.780001,24.299999,14.483977,746316700
2010-06-01,24.270000,25.660000,24.030001,24.190001,14.418410,674250300
2010-07-01,24.260000,26.410000,23.879999,25.940001,15.461501,617312000
2010-08-01,26.500000,27.389999,26.200001,27.030001,16.393251,609417100
2010-09-01,27.240000,29.150000,27.059999,28.600000,17.345428,514857600
2010-10-01,28.850000,29.430000,27.860001,28.520000,17.296907,522207600
2010-11-01,28.830000,29.490000,27.490000,27.790001,17.098778,435126100
2010-12-01,28.120001,29.559999,28.030001,29.379999,18.077084,459726000
2011-01-01,29.680000,30.100000,27.200001,27.520000,16.932652,693889800
2011-02-01,27.920000,28.590000,27.559999,28.379999,17.715897,442158800
2011-03-01,28.450001,30.969999,27.270000,30.610001,19.107946,820979500
2011-04-01,30.870001,31.820000,29.910000,31.120001,19.426308,592424500
2011-05-01,31.600000,31.940001,30.900000,31.559999,19.980833,465616200
2011-06-01,31.430000,31.580000,30.110001,31.410000,19.885866,483674000
2011-07-01,31.420000,31.780001,28.770000,29.260000,18.524689,482818300
2011-08-01,30.059999,30.080000,27.330000,28.480000,18.279369,942937600
2011-09-01,28.590000,29.180000,27.290001,28.520000,18.305042,790385600
2011-10-01,28.639999,29.799999,27.549999,29.309999,18.812092,559009100
2011-11-01,29.030001,29.549999,27.410000,28.980000,18.887167,495011600
2011-12-01,28.930000,30.299999,28.510000,30.240000,19.708344,507085200
2012-01-01,30.459999,30.680000,29.020000,29.410000,19.167406,598734600
2012-02-01,29.910000,30.639999,29.580000,30.590000,20.229240,475436400
2012-03-01,30.540001,31.969999,30.440001,31.230000,20.652479,684160200
2012-04-01,31.280001,32.950001,29.950001,32.910000,21.763466,493379500
2012-05-01,32.930000,34.410000,32.470001,34.169998,22.916096,592937500
2012-06-01,34.099998,36.000000,33.779999,35.660000,23.915361,696778300
2012-07-01,35.700001,38.110001,34.240002,37.919998,25.431026,549411700
