,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
162,2001-09-06,,,,,,,,,,,,,,,,,,,,,,,,
163,2001-09-07,,,,,,,,,,,,,,,,,,,,,,,,
164,2001-09-10,,,,,,,,,,,,,,,,,,,,,,,,
165,2001-09-11,,,,,,,,,,,,,,,,,,,,,,,,
166,2001-09-12,,,,,,,,,,,,,,,,,,,,,,,,
167,2001-09-13,,,,,,,,,,,,,,,,,,,,,,,,
168,2001-09-14,,,,,,,,,,,,,,,,,,,,,,,,
169,2001-09-17,,,,,,,,,,,,,,,,,,,,,,,,
170,2001-09-18,,,,,,,,,,,,,,,,,,,,,,,,
171,2001-09-19,,,,,,,,,,,,,,,,,,,,,,,,
172,2001-09-20,,,,,,,,,,,,,,,,,,,,,,,,
173,2001-09-21,,,,,,,,,,,,,,,,,,,,,,,,
174,2001-09-24,,,,,,,,,,,,,,,,,,,,,,,,
175,2001-09-25,,,,,,,,,,,,,,,,,,,,,,,,
176,2001-09-26,,,,,,,,,,,,,,,,,,,,,,,,
177,2001-09-27,,,,,,,,,,,,,,,,,,,,,,,,
178,2001-09-28,,,,,,,,,,,,,,,,,,,,,,,,
179,2001-10-08,,,,,,,,,,,,,,,,,,,,,,,,
180,2001-10-09,,,,,,,,,,,,,,,,,,,,,,,,
181,2001-10-10,,,,,,,,,,,,,,,,,,,,,,,,
182,2001-10-11,,,,,,,,,,,,,,,,,,,,,,,,
183,2001-10-12,,,,,,,,,,,,,,,,,,,,,,,,
184,2001-10-15,,,,,,,,,,,,,,,,,,,,,,,,
185,2001-10-16,,,,,,,,,,,,,,,,,,,,,,,,
186,2001-10-17,,,,,,,,,,,,,,,,,,,,,,,,
187,2001-10-18,,,,,,,,,,,,,,,,,,,,,,,,
188,2001-10-19,,,,,,,,,,,,,,,,,,,,,,,,
189,2001-10-22,,,,,,,,,,,,,,,,,,,,,,,,
190,2001-10-23,,,,,,,,,,,,,,,,,,,,,,,,
191,2001-10-24,,,,,,,,,,,,,,,,,,,,,,,,
192,2001-10-25,,,,,,,,,,,,,,,,,,,,,,,,
193,2001-10-26,,,,,,,,,,,,,,,,,,,,,,,,
194,2001-10-29,,,,,,,,,,,,,,,,,,,,,,,,
195,2001-10-30,,,,,,,,,,,,,,,,,,,,,,,,
196,2001-10-31,,,,,,,,,,,,,,,,,,,,,,,,
197,2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,
198,2001-11-02,,,,,,,,,,,,,,,,,,,,,,,,
199,2001-11-05,,,,,,,,,,,,,,,,,,,,,,,,
200,2001-11-06,,,,,,,,,,,,,,,,,,,,,,,,
201,2001-11-07,,,,,,,,,,,,,,,,,,,,,,,,
202,2001-11-08,,,,,,,,,,,,,,,,,,,,,,,,
203,2001-11-09,,,,,,,,,,,,,,,,,,,,,,,,
204,2001-11-12,,,,,,,,,,,,,,,,,,,,,,,,
205,2001-11-13,,,,,,,,,,,,,,,,,,,,,,,,
206,2001-11-14,,,,,,,,,,,,,,,,,,,,,,,,
207,2001-11-15,,,,,,,,,,,,,,,,,,,,,,,,
208,2001-11-16,,,,,,,,,,,,,,,,,,,,,,,,
209,2001-11-19,,,,,,,,,,,,,,,,,,,,,,,,
210,2001-11-20,,,,,,,,,,,,,,,,,,,,,,,,
211,2001-11-21,,,,,,,,,,,,,,,,,,,,,,,,
212,2001-11-22,,,,,,,,,,,,,,,,,,,,,,,,
213,2001-11-23,,,,,,,,,,,,,,,,,,,,,,,,
214,2001-11-26,,,,,,,,,,,,,,,,,,,,,,,,
215,2001-11-27,,,,,,,,,,,,,,,,,,,,,,,,
216,2001-11-28,,,,,,,,,,,,,,,,,,,,,,,,
217,2001-11-29,,,,,,,,,,,,,,,,,,,,,,,,
218,2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,
219,2001-12-03,,,,,,,,,,,,,,,,,,,,,,,,
220,2001-12-04,,,,,,,,,,,,,,,,,,,,,,,,
