,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
3751,2016-06-30,6120.2021,6127.9892,6123.4939,6143.2323,6090.9036,15.243099999999686,37.08560000000034,23.03019999999924,29.298500000000786,0.0005378580553736523,115.21235875716857,87.25280311121661,6059.809160000009,6015.274989999991,5984.335880000012,5986.441618333338,5949.584416666664,6698.237040000008,0.024308460625692474,0.03253469739899484,0.029621985853667487,-0.0001688130144498201,-0.19614808375611026,-0.39050820618040516
3752,2016-07-01,6123.4939,6133.7178,6111.5385,6163.4256,6095.85,29.707799999999224,37.86779999999999,39.93169999999918,27.64390000000003,-0.0019523821196263391,122.70012187283785,95.13468215867606,6101.392820000008,6030.0015999999905,5991.223810000012,5983.524216666671,5942.318867499997,6681.612687600008,0.03521877982597843,0.024691377275122495,0.02306054161787907,-0.02784407859367033,-0.12484826168737995,-0.4047759294246248
3753,2016-07-04,6111.5385,6079.5844,6231.8811,6240.603,6078.6278,161.01860000000033,0.9565999999995256,129.0645000000004,32.91069999999945,0.019691048334228745,142.4941608117171,100.89357812367352,6138.925220000007,6054.63279999999,6002.123155000013,5981.998331666671,5936.83669833333,6666.9157972000085,0.031048179573768264,0.0411509742657552,0.03624721233040651,-0.01447838264846657,-0.09548403369682357,-0.37090491996363817
3754,2016-07-05,6231.8811,6244.387,6269.5046,6276.8212,6226.2952,32.4342000000006,18.09180000000015,44.94010000000071,5.585900000000038,0.006037262167919222,152.80789466996174,110.0935702639146,6171.324040000008,6089.902939999991,6013.968235000013,5982.673846666671,5930.202513333331,6655.681556400008,0.02652375300869303,0.059610128658664774,0.03927021221187599,0.006506834344155443,-0.1126728705027853,-0.30937873455144316
3755,2016-07-06,6269.5046,6250.4887,6297.3969,6299.7335,6231.5408,49.244800000000396,18.947900000000118,30.228900000000067,37.96380000000045,0.004448884206895709,152.30621328945875,109.22087585034026,6206.763000000008,6118.75405999999,6026.245105000012,5984.8180966666705,5928.828797499998,6646.932570400009,0.028952442599893713,0.04801409352818942,0.04057222412384154,0.020855954436997948,-0.025509084864468456,-0.2577888541550256
3756,2016-07-07,6297.3969,6291.0571,6319.7926,6342.4345,6256.272,51.37740000000031,34.78510000000006,45.037600000000566,41.1248999999998,0.0035563424627087503,153.7441717746574,114.17296382975334,6246.022740000008,6152.9159499999905,6039.966880000013,5985.076300000003,5926.740139166664,6636.587660000009,0.032056649880879196,0.05714435831799247,0.04539607759482056,0.0024574019347174403,-0.03814650471363257,-0.29039094252222797
3757,2016-07-08,6319.7926,6308.0623,6299.8533,6337.0713,6276.8299,29.009000000000015,31.23239999999987,17.278699999999844,42.96270000000004,-0.0031550560694032503,132.78618787583508,94.1705744330882,6283.685700000007,6192.539259999991,6053.765665000013,5985.860973333338,5928.166784999998,6628.13943440001,0.030812994142146,0.06711697002459593,0.04581363007774253,0.00752952342152069,0.027933939445579536,-0.2510793001023299
3758,2016-07-11,6299.8533,6320.0629,6312.4988,6387.0702,6306.1335,67.00730000000021,13.929399999999987,87.21690000000035,-6.28020000000015,0.0020072689629138107,132.9391437042018,95.9171970906879,6299.809240000008,6219.367229999991,6082.068415000013,5985.3321950000045,5929.632081666665,6622.04901560001,0.012936334744897637,0.04438616396285178,0.09850527033780443,-0.00500087835780727,0.02865329158034946,-0.19433115337914808
3759,2016-07-12,6312.4988,6309.819,6395.1448,6395.4352,6248.934,85.61619999999948,60.88500000000022,82.9363999999996,63.564800000000105,0.013092438132423778,129.7021176246792,95.83506574317471,6324.937280000008,6248.130659999992,6113.687595000013,5985.220366666671,5933.557921666665,6618.20763080001,0.020039892785149283,0.04709517896039639,0.10973621464654837,-0.0010480869254370084,0.07952351468017449,-0.13056180749864288
3760,2016-07-13,6395.1448,6413.8122,6446.5634,6456.7724,6392.3995,42.96019999999953,21.41269999999986,61.6275999999998,2.745299999999588,0.00804025578904799,129.86061280335406,98.04580421801414,6354.7705800000085,6280.7667899999915,6138.373465000013,5986.257263333337,5936.2391149999985,6615.04988840001,0.02368700946894431,0.05332524885085088,0.0829380434165441,0.009744735783266067,0.052531044094976,-0.109098356702371
