,日期,收盘价,基差,指数,贴水率
924,2013-11-01,2391.8,6.8400000000001455,2384.96,0.0028679726284718174
925,2013-11-04,2385.6,5.145999999999731,2380.454,0.0021617725022200513
926,2013-11-05,2382.6,-1.168999999999869,2383.769,-0.0004903998667655587
927,2013-11-06,2351.8,-1.768000000000029,2353.568,-0.0007511998803518866
928,2013-11-07,2350.0,9.447999999999865,2340.552,0.004036654601136768
929,2013-11-08,2311.6,3.6549999999997453,2307.945,0.0015836599225717012
930,2013-11-11,2318.4,2.5109999999999673,2315.889,0.0010842488564866309
931,2013-11-12,2331.4,-8.599999999999909,2340.0,-0.0036752136752136364
932,2013-11-13,2287.6,-0.5160000000000764,2288.116,-0.00022551304217097227
933,2013-11-14,2296.6,-7.901000000000295,2304.501,-0.0034285079503112797
934,2013-11-15,2344.4,-6.333999999999833,2350.734,-0.0026944775546700874
935,2013-11-18,2420.2,-8.702999999999975,2428.903,-0.003583099036890306
936,2013-11-19,2418.4,6.23700000000008,2412.163,0.0025856461607279774
937,2013-11-20,2433.6,8.75,2424.85,0.003608470627049096
938,2013-11-21,2415.6,5.610999999999876,2409.989,0.00232822639439428
939,2013-11-22,2405.8,7.838000000000193,2397.962,0.0032686089270806597
940,2013-11-25,2390.2,1.5709999999999127,2388.629,0.0006576994585596645
941,2013-11-26,2391.8,4.3840000000000146,2387.416,0.0018362949733100617
942,2013-11-27,2423.8,9.31899999999996,2414.481,0.0038596286324058707
943,2013-11-28,2451.2,11.669999999999618,2439.53,0.004783708337261529
944,2013-11-29,2458.0,19.05600000000004,2438.944,0.007813217523649597
945,2013-12-02,2437.2,18.411999999999807,2418.788,0.007612076792178482
946,2013-12-03,2456.0,13.215999999999894,2442.784,0.005410220469759051
947,2013-12-04,2485.8,10.664999999999964,2475.135,0.004308855880588316
948,2013-12-05,2486.8,18.603000000000065,2468.197,0.007537080711142613
949,2013-12-06,2470.8,18.513000000000375,2452.287,0.007549279509290869
950,2013-12-09,2464.2,13.327999999999975,2450.872,0.005438064492964126
951,2013-12-10,2466.8,13.478000000000065,2453.322,0.005493775378853679
952,2013-12-11,2425.2,12.436999999999898,2412.763,0.005154671221334171
953,2013-12-12,2418.8,8.78500000000031,2410.015,0.003645205527766553
954,2013-12-13,2416.8,10.161000000000058,2406.639,0.004222070696934629
955,2013-12-16,2369.4,1.4770000000003165,2367.923,0.0006237533906298121
