日期,收盘价,基差,指数,贴水率
2016-11-17,3429.6,-6.934999999999945,3436.535,-0.00201802105900273
2016-11-18,3427.4,9.944600000000264,3417.4554,0.0029099428773818863
2016-11-21,3415.0,-26.110599999999977,3441.1106,-0.00758784097203966
2016-11-22,3450.8,-17.5636999999997,3468.3637,-0.005063972962235679
2016-11-23,3458.6,-16.128900000000158,3474.7289,-0.004641772196961944
2016-11-24,3464.8,-23.940200000000004,3488.7402,-0.006862133213588103
2016-11-25,3517.0,-4.298400000000129,3521.2984,-0.0012206860969238304
2016-11-28,3532.4,-2.680699999999888,3535.0807,-0.0007583136645225349
2016-11-29,3561.6,-2.440399999999954,3564.0404,-0.0006847284896097009
2016-11-30,3534.6,-3.4010000000002947,3538.001,-0.0009612772862416642
2016-12-01,3568.4,3.3640000000000327,3565.036,0.0009436089845937132
2016-12-02,3526.0,-2.954699999999775,3528.9547,-0.0008372734283043575
2016-12-05,3453.0,-16.40729999999985,3469.4073,-0.0047291362994479925
2016-12-06,3448.4,-10.753299999999854,3459.1533,-0.003108650894425481
2016-12-07,3459.4,-16.347299999999905,3475.7473,-0.004703247557726623
2016-12-08,3458.6,-11.54260000000022,3470.1426,-0.003326261001493201
2016-12-09,3479.0,-14.700400000000172,3493.7004,-0.004207687642592413
2016-12-12,3390.4,-18.779399999999896,3409.1794,-0.005508481014522115
2016-12-13,3391.0,-14.035499999999956,3405.0355,-0.004121983456560132
2016-12-14,3371.6,-7.345299999999952,3378.9453,-0.0021738440098453067
2016-12-15,3328.0,-12.433799999999792,3340.4338,-0.003722211169100191
2016-12-16,3342.8,-3.2304999999996653,3346.0305,-0.0009654723709182165
2016-12-19,3299.0,-29.982700000000023,3328.9827,-0.009006565278936422
2016-12-20,3274.0,-35.06410000000005,3309.0641,-0.010596379804186946
2016-12-21,3310.0,-28.536000000000058,3338.536,-0.008547459125796474
2016-12-22,3300.0,-35.672000000000025,3335.672,-0.010694097021529703
2016-12-23,3277.0,-30.599099999999908,3307.5991,-0.009251151386514741
2016-12-26,3289.6,-32.80060000000003,3322.4006,-0.009872560220462286
2016-12-27,3290.4,-25.985200000000077,3316.3852,-0.007835398614129649
2016-12-28,3281.4,-20.48869999999988,3301.8887,-0.006205145558055873
2016-12-29,3283.0,-14.764799999999923,3297.7648,-0.004477214384725049
2016-12-30,3285.0,-25.08080000000018,3310.0808,-0.007577096003215444
2017-01-03,3326.0,-16.22719999999981,3342.2272,-0.0048552055348002115
2017-01-04,3358.4,-9.91170000000011,3368.3117,-0.0029426314672719002
2017-01-05,3350.8,-16.989199999999983,3367.7892,-0.005044615025192189
2017-01-06,3336.4,-11.266499999999724,3347.6665,-0.0033654786102497738
2017-01-09,3352.0,-11.901400000000194,3363.9014,-0.003537975280726181
2017-01-10,3343.6,-14.671600000000126,3358.2716,-0.004368794947972679
2017-01-11,3323.0,-11.49539999999979,3334.4954,-0.0034474181610806213
2017-01-12,3300.0,-17.6241,3317.6241,-0.005312265485411683
2017-01-13,3309.2,-10.712200000000394,3319.9122,-0.0032266515963887215
2017-01-16,3301.2,-18.245499999999993,3319.4455,-0.005496550553398149
2017-01-17,3315.4,-10.956299999999828,3326.3563,-0.003293784252757237
2017-01-18,3345.0,5.634700000000066,3339.3653,0.0016873565764129088
2017-01-19,3326.0,-3.289099999999962,3329.2891,-0.0009879286241618254
2017-01-20,3352.8,-2.0890999999996893,3354.8891,-0.0006227031468788907
