,日期,收盘价,基差,指数,贴水率
1900,2017-10-31,2823.0,29.288100000000213,2793.7119,0.010483579212301818
1901,2017-11-01,2817.8,28.39780000000019,2789.4022,0.010180604288617895
1902,2017-11-02,2820.0,25.898299999999836,2794.1017,0.009268918164288664
1903,2017-11-03,2818.8,18.33120000000008,2800.4688,0.006545761195411311
1904,2017-11-06,2814.0,21.776299999999992,2792.2237,0.007798909521468496
1905,2017-11-07,2847.0,25.04419999999982,2821.9558,0.008874766925832013
1906,2017-11-08,2844.2,24.242899999999736,2819.9571,0.008596903832331255
1907,2017-11-09,2855.2,22.238799999999628,2832.9612,0.007850019266059707
1908,2017-11-10,2891.0,28.656800000000203,2862.3432,0.010011657581802282
1909,2017-11-13,2901.6,28.085499999999683,2873.5145,0.009773919707034602
1910,2017-11-14,2887.0,25.57659999999987,2861.4234,0.008938418550711464
1911,2017-11-15,2877.0,26.94959999999992,2850.0504,0.009455832781062368
1912,2017-11-16,2909.2,29.802299999999832,2879.3977,0.01035018538772877
1913,2017-11-17,2955.0,16.201700000000073,2938.7983,0.0055130357193959425
1914,2017-11-20,2964.4,23.246799999999894,2941.1532,0.007903974536246495
1915,2017-11-21,3025.6,38.42689999999993,2987.1731,0.012863968278236012
1916,2017-11-22,3049.2,36.84479999999985,3012.3552,0.012231226915072915
1917,2017-11-23,2966.2,25.474399999999605,2940.7256,0.00866262394560023
1918,2017-11-24,2970.0,33.166099999999915,2936.8339,0.011293148039458382
1919,2017-11-27,2937.8,20.494000000000142,2917.306,0.007024974411323372
1920,2017-11-28,2928.0,30.89300000000003,2897.107,0.010663396277735005
1921,2017-11-29,2913.8,20.517500000000382,2893.2825,0.007091426433471458
1922,2017-11-30,2877.0,13.553100000000086,2863.4469,0.0047331417251006425
1923,2017-12-01,2860.8,18.615900000000238,2842.1841,0.006549857203127777
1924,2017-12-04,2877.4,16.039099999999962,2861.3609,0.005605409649653059
1925,2017-12-05,2919.0,8.524499999999989,2910.4755,0.0029289028545335595
1926,2017-12-06,2882.6,6.86850000000004,2875.7315,0.0023884357771231566
1927,2017-12-07,2856.6,7.711999999999989,2848.888,0.0027070211254356046
1928,2017-12-08,2886.0,20.659299999999803,2865.3407,0.007210067549733196
1929,2017-12-11,2918.2,19.096399999999903,2899.1036,0.006587001582144186
1930,2017-12-12,2869.8,19.603100000000268,2850.1969,0.006877805529856645
1931,2017-12-13,2896.6,23.659999999999854,2872.94,0.008235466107889429
1932,2017-12-14,2876.8,26.75420000000031,2850.0458,0.009387287741130445
1933,2017-12-15,2839.8,19.633400000000165,2820.1666,0.006961787292991898
1934,2017-12-18,2857.0,27.941499999999905,2829.0585,0.009876607358949949
1935,2017-12-19,2896.2,23.169799999999668,2873.0302,0.008064586303339125
1936,2017-12-20,2898.8,19.156600000000253,2879.6434,0.0066524209212849945
1937,2017-12-21,2927.8,32.4341000000004,2895.3659,0.011202072940073101
1938,2017-12-22,2910.0,29.227499999999964,2880.7725,0.010145716123019073
1939,2017-12-25,2911.8,31.70320000000038,2880.0968,0.01100768557501275
1940,2017-12-26,2934.8,40.464200000000346,2894.3358,0.013980478699119966
1941,2017-12-27,2868.0,28.365400000000136,2839.6346,0.00998910211898395
1942,2017-12-28,2891.0,31.946300000000065,2859.0537,0.01117373206386437
1943,2017-12-29,2894.0,33.56370000000015,2860.4363,0.011733769425314648
1944,2018-01-02,2942.2,33.4681999999998,2908.7318,0.011506114107873333
1945,2018-01-03,2942.4,29.140400000000227,2913.2596,0.010002678786332748
1946,2018-01-04,2949.8,30.321300000000065,2919.4787,0.010385861010049522
1947,2018-01-05,2966.0,33.64420000000018,2932.3558,0.011473437159297035
1948,2018-01-08,2971.0,23.23869999999988,2947.7613,0.007883508071023212
1949,2018-01-09,2998.6,29.2824999999998,2969.3175,0.009861693806741716
1950,2018-01-10,3018.8,23.23590000000013,2995.5641,0.007756769417820213
1951,2018-01-11,3019.8,22.75520000000006,2997.0448,0.00759254583047943
1952,2018-01-12,3045.6,27.004300000000057,3018.5957,0.008945981073252061
1953,2018-01-15,3072.2,23.392499999999927,3048.8075,0.007672672020125878
1954,2018-01-16,3101.0,37.13909999999987,3063.8609,0.012121666489493655
1955,2018-01-17,3099.2,23.018099999999777,3076.1819,0.00748268494785688
1956,2018-01-18,3137.0,30.44840000000022,3106.5516,0.009801350153012176
1957,2018-01-19,3143.8,25.97880000000032,3117.8212,0.008332357224333557
1958,2018-01-22,3166.4,36.07009999999991,3130.3299,0.011522779116667515
1959,2018-01-23,3212.4,35.895800000000236,3176.5042,0.01130041005454998
1960,2018-01-24,3213.0,32.66820000000007,3180.3318,0.010271947096840673
1961,2018-01-25,3189.2,31.740800000000036,3157.4592,0.010052639793413653
1962,2018-01-26,3215.0,42.22240000000011,3172.7776,0.01330770867772141
1963,2018-01-29,3155.0,34.30490000000009,3120.6951,0.010992711207192299
1964,2018-01-30,3117.2,38.08219999999983,3079.1178,0.012367893167322092
1965,2018-01-31,3150.2,33.36689999999999,3116.8331,0.010705385540213875
1966,2018-02-01,3161.4,20.170000000000073,3141.23,0.006421051626273808
1967,2018-02-02,3188.0,38.358600000000024,3149.6414,0.012178719774257484
1968,2018-02-05,3223.0,41.660699999999906,3181.3393,0.013095333779707152
1969,2018-02-06,3125.0,7.509500000000116,3117.4905,0.0024088285112657494
1970,2018-02-07,3022.0,-7.60109999999986,3029.6011,-0.0025089441642993397
1971,2018-02-08,2950.2,4.356199999999717,2945.8438,0.0014787613654192108
1972,2018-02-09,2767.0,-43.027300000000196,2810.0273,-0.015312057644422242
1973,2018-02-12,2782.8,-22.410999999999603,2805.211,-0.007989060359452321
1974,2018-02-13,2836.0,-16.716899999999896,2852.7169,-0.0058599926266780615
1975,2018-02-14,2864.0,-7.787299999999959,2871.7873,-0.0027116562567150986
1976,2018-02-22,2915.0,-16.88149999999996,2931.8815,-0.005757906654822154
1977,2018-02-23,2958.2,1.0289999999999964,2957.171,0.00034796770291606284
